Date,Lift,Sets,Reps,Weight (LBS)
2017/04/29,back-squats,2,8,135
2017/04/29,back-squats,1,8,185
2017/04/29,back-squats,1,8,205
2017/05/02,back-squats,1,1,265
2017/05/03,deadlifts,4,8,225
2017/05/03,cleans,5,3,135
2017/05/04,btn press,1,8,65
2017/05/04,btn press,1,8,85
2017/05/04,btn press,3,8,95
2017/05/04,hammer curls,3,14,30
2017/05/05,back-squats,3,8,225
2017/05/07,cleans,3,3,135
2017/05/07,hang-cleans,3,2,135
2017/05/07,deadlifts (rdl),3,6,225
2017/05/09,cleans,3,3,135
2017/05/09,cleans,1,2,165
2017/05/09,back-squats,2,2,245
2017/05/09,deadlifts,1,1,275
2017/05/10,hammer curls,3,14,35
2017/05/10,bench,2,2,185
2017/05/10,bench,3,2,165
2017/05/10,deadlifts (rdl),3,6,225
2017/05/11,back-squats,1,8,135
2017/05/11,back-squats,1,8,205
2017/05/11,back-squats,1,8,225
2017/05/11,back-squats,1,6,245
2017/05/11,back-squats,1,2,225
2017/05/16,back-squats,1,8,135
2017/05/16,back-squats,1,5,185
2017/05/16,back-squats,2,2,245
2017/05/20,back-squats,1,8,135
2017/05/20,back-squats,1,5,185
2017/05/20,back-squats,5,5,225
2017/05/20,back-squats,1,1,245
2017/05/20,bench,5,5,135
2017/05/21,back-squats,2,8,135
2017/05/21,back-squats,1,8,205
2017/05/21,deadlifts (rdl),3,8,225
2017/05/24,back-squats,1,8,165
2017/05/24,back-squats,3,2,245
2017/05/24,back-squats,1,3,245
2017/05/24,cleans,1,5,135
2017/05/24,btn press,1,5,65
2017/05/24,btn press,1,1,115
2017/05/24,btn press,3,6,95
2017/06/01,back-squats,3,8,185
2017/06/04,back-squats,3,8,135
2017/06/04,deadlifts,1,6,225
2017/06/04,deadlifts,2,6,275
2017/06/04,clean complex,3,3,135
2017/06/04,dumbbell bench press,3,12,35
2017/06/06,back-squats,5,5,205
2017/06/09,back-squats,2,8,135
2017/06/09,back-squats,1,8,185
2017/06/09,deadlifts,2,8,225
2017/06/09,deadlifts,1,8,275
2017/06/13,back-squats,5,5,225
2017/06/20,deadlifts,1,8,135
2017/06/20,deadlifts,1,5,225
2017/06/20,deadlifts,1,6,275
2017/06/20,deadlifts,2,6,295
2017/06/20,bench,3,6,135
2017/06/21,back-squats,1,8,135
2017/06/21,back-squats,1,5,185
2017/06/21,back-squats,1,4,225
2017/06/21,back-squats,1,2,225
2017/06/26,deadlifts,1,8,135
2017/06/26,deadlifts,1,5,225
2017/06/26,deadlifts,1,4,274
2017/06/26,deadlifts,1,2,295
2017/06/26,deadlifts,1,1,315
2017/06/26,deadlifts,1,1,335
2017/06/27,back-squats,1,8,135
2017/06/27,back-squats,1,5,185
2017/06/27,back-squats,1,5,205
2017/06/27,back-squats,3,2,225
2017/06/27,bench,1,5,135
2017/06/27,bench,3,3,155
